epoch,total_loss,discriminator_loss,generator_loss
1,5.4050862193107605,3.2450096011161804,2.16007661819458
2,5.264199793338776,3.0940696597099304,2.170130133628845
3,5.153835952281952,2.9280551075935364,2.2257808446884155
4,5.159496486186981,2.859226167201996,2.3002703189849854
5,5.051568865776062,2.7097541093826294,2.3418147563934326
6,5.020170629024506,2.686728060245514,2.3334425687789917
7,5.006599485874176,2.6773561835289,2.329243302345276
8,5.000069797039032,2.679055154323578,2.321014642715454
9,5.014910101890564,2.717286467552185,2.297623634338379
10,5.0383012890815735,2.6561837792396545,2.382117509841919
11,5.085604727268219,2.6981260180473328,2.3874787092208862
12,5.039400517940521,2.6324533820152283,2.406947135925293
13,5.008530378341675,2.582369327545166,2.426161050796509
14,5.0865113735198975,2.6483049392700195,2.438206434249878
15,5.078870236873627,2.546129286289215,2.5327409505844116
16,5.072207510471344,2.591529667377472,2.480677843093872
17,5.112357437610626,2.5322462916374207,2.5801111459732056
18,5.114124119281769,2.5167728066444397,2.597351312637329
19,5.07875669002533,2.4031500816345215,2.675606608390808
20,5.023105680942535,2.338081657886505,2.6850240230560303
21,5.159943997859955,2.389434039592743,2.770509958267212
22,5.090445637702942,2.369901657104492,2.7205439805984497
23,5.142181396484375,2.368343710899353,2.773837685585022
24,5.118739485740662,2.287326216697693,2.8314132690429688
25,5.199133574962616,2.3582268357276917,2.8409067392349243
26,5.205353379249573,2.2530879974365234,2.9522653818130493
27,5.252243757247925,2.265641212463379,2.986602544784546
28,5.271509498357773,2.0995822846889496,3.1719272136688232
29,5.280867695808411,2.1702303886413574,3.1106373071670532
30,5.235593795776367,2.2023221254348755,3.0332716703414917
31,5.337975472211838,2.2143815457820892,3.1235939264297485
32,5.281992435455322,2.2309889793395996,3.0510034561157227
33,5.350431144237518,2.2440831065177917,3.1063480377197266
34,5.419695734977722,2.175359606742859,3.2443361282348633
35,5.46481716632843,2.1222645044326782,3.342552661895752
36,5.490473508834839,2.1544870138168335,3.3359864950180054
37,5.40556412935257,2.047482907772064,3.3580812215805054
38,5.42712938785553,2.083256959915161,3.3438724279403687
39,5.599792867898941,2.0629175007343292,3.536875367164612
40,5.683158844709396,2.0185427367687225,3.664616107940674
41,5.641555368900299,1.9827436804771423,3.6588116884231567
42,5.637140661478043,1.9046877920627594,3.732452869415283
43,5.555388182401657,1.8967832028865814,3.6586049795150757
44,5.585059940814972,1.91175776720047,3.673302173614502
45,5.540852725505829,1.9408102631568909,3.600042462348938
46,5.649852126836777,2.0844334065914154,3.5654187202453613
47,6.083018600940704,2.3737464547157288,3.7092721462249756
48,6.342272162437439,2.385519504547119,3.95675265789032
49,6.367479234933853,2.0018581449985504,4.365621089935303
50,6.138052701950073,1.8231630325317383,4.314889669418335
51,5.880805969238281,1.7217285633087158,4.159077405929565
52,5.865464985370636,1.593508780002594,4.271956205368042
53,5.791180908679962,1.7088122963905334,4.082368612289429
54,5.841892123222351,1.8899824619293213,3.95190966129303
55,6.104219287633896,2.1906929910182953,3.9135262966156006
56,6.359201490879059,2.264699876308441,4.094501614570618
57,6.408671021461487,1.9388409852981567,4.46983003616333
58,6.261318534612656,1.621114820241928,4.6402037143707275
59,6.086507052183151,1.4354674518108368,4.6510396003723145
60,6.017977744340897,1.32463338971138,4.693344354629517
61,5.974353164434433,1.2626887261867523,4.711664438247681
62,6.036974862217903,1.1103627234697342,4.926612138748169
63,5.857964873313904,1.1475263833999634,4.71043848991394
64,5.934863492846489,1.1162373274564743,4.818626165390015
65,5.7701746970415115,1.2452342063188553,4.524940490722656
66,6.115848630666733,1.81478151679039,4.301067113876343
67,6.814972311258316,2.4809369146823883,4.334035396575928
68,7.21522068977356,2.039630174636841,5.175590515136719
69,6.787145763635635,1.3260072767734528,5.461138486862183
70,6.339441224932671,1.307675763964653,5.031765460968018
71,5.9828742146492,1.1324127316474915,4.850461483001709
72,6.029985815286636,1.13126602768898,4.898719787597656
73,5.974967449903488,1.1326198279857635,4.842347621917725
74,5.962086409330368,1.222408264875412,4.739678144454956
75,6.083876371383667,1.3192908763885498,4.764585494995117
76,6.21319717168808,1.3335434794425964,4.879653692245483
77,6.374308913946152,1.2193988263607025,5.154910087585449
78,6.570024475455284,1.2154295295476913,5.354594945907593
79,6.675930708646774,1.1536373794078827,5.522293329238892
