epoch,total_loss,discriminator_loss,generator_loss
1,13.25783395767212,8.082833409309387,5.175000548362732
2,12.723686814308167,7.498851299285889,5.224835515022278
3,12.447027683258057,6.930050611495972,5.516977071762085
4,12.423476994037628,6.7490546107292175,5.674422383308411
5,12.492719292640686,6.3251930475234985,6.1675262451171875
6,12.379186689853668,5.967361152172089,6.41182553768158
7,12.437206387519836,6.114080190658569,6.323126196861267
8,12.806978106498718,6.240301728248596,6.566676378250122
9,12.83355039358139,5.696382582187653,7.137167811393738
10,12.842685252428055,5.436530977487564,7.406154274940491
11,13.088968276977539,5.837813377380371,7.251154899597168
12,13.51231861114502,5.679343342781067,7.832975268363953
13,13.475152015686035,4.910189151763916,8.56496286392212
14,13.359139323234558,4.430353164672852,8.928786158561707
15,13.623800158500671,4.899395823478699,8.724404335021973
16,15.00454467535019,5.6794180274009705,9.325126647949219
17,14.374430447816849,4.291515380144119,10.08291506767273
18,13.834717124700546,4.214095562696457,9.62062156200409
19,14.555150747299194,4.8936110734939575,9.661539673805237
20,15.23213928937912,4.592291295528412,10.639847993850708
21,14.587226748466492,3.639597535133362,10.94762921333313
22,14.230294525623322,2.83723646402359,11.393058061599731
23,14.217264100909233,2.60867540538311,11.608588695526123
24,14.324045941233635,2.8214252442121506,11.502620697021484
25,15.664257317781448,4.722772628068924,10.941484689712524
26,16.02310088276863,3.8021433651447296,12.220957517623901
27,14.704746410250664,2.7664424628019333,11.93830394744873
28,14.695939406752586,2.55551777780056,12.140421628952026
29,14.768169865012169,2.364742025732994,12.403427839279175
30,14.835481360554695,2.428472712635994,12.407008647918701
31,15.576165303587914,2.664674863219261,12.911490440368652
32,16.52812658250332,2.5032933801412582,14.02483320236206
33,16.498292088508606,1.8062163591384888,14.692075729370117
34,16.497347950935364,1.7435113191604614,14.753836631774902
35,16.474182844161987,1.529200553894043,14.944982290267944
36,15.970118559896946,1.5418930426239967,14.42822551727295
37,16.22427874803543,1.9341748356819153,14.290103912353516
38,17.21357336640358,2.4322201311588287,14.781353235244751
39,17.12282506376505,1.6838523522019386,15.43897271156311
