epoch,total_loss,discriminator_loss,generator_loss
1,2.989290714263916,1.548913836479187,1.440376877784729
2,3.134999096393585,1.7637446522712708,1.3712544441223145
3,2.9690810441970825,1.7445178031921387,1.2245632410049438
4,2.8216208815574646,1.4738534092903137,1.3477674722671509
5,2.803184747695923,1.5964666604995728,1.20671808719635
6,2.9301318526268005,1.593284785747528,1.3368470668792725
7,2.674311876296997,1.3789407014846802,1.295371174812317
8,3.0448376536369324,1.7025430798530579,1.3422945737838745
9,2.6298938393592834,1.409058153629303,1.2208356857299805
10,2.963990807533264,1.8204309940338135,1.1435598134994507
11,2.930631458759308,1.5182923674583435,1.4123390913009644
12,2.6582826375961304,1.351951003074646,1.3063316345214844
13,2.919778525829315,1.4076104760169983,1.512168049812317
14,3.0048396587371826,1.8348749876022339,1.1699646711349487
15,2.7140270471572876,1.5403283834457397,1.1736986637115479
16,2.8345534205436707,1.4583305716514587,1.376222848892212
17,2.7608169317245483,1.4515776634216309,1.3092392683029175
18,2.7844756841659546,1.4709975719451904,1.3134781122207642
19,2.886730372905731,1.596099317073822,1.2906310558319092
20,2.8436697125434875,1.2946437001228333,1.5490260124206543
21,2.9604271054267883,1.714052975177765,1.2463741302490234
22,2.9105396270751953,1.5263699293136597,1.3841696977615356
23,2.6763883233070374,1.5018953680992126,1.1744929552078247
24,2.8862951397895813,1.0945906043052673,1.791704535484314
25,2.7439838647842407,1.3097437620162964,1.4342401027679443
26,2.658764600753784,1.6829679608345032,0.975796639919281
27,2.8390321731567383,1.489455223083496,1.3495769500732422
28,2.6479241251945496,1.0063497424125671,1.6415743827819824
29,2.7376410365104675,1.402568757534027,1.3350722789764404
30,2.6946852803230286,1.3404495120048523,1.3542357683181763
31,2.928282856941223,1.66750168800354,1.260781168937683
32,2.7086338698863983,1.0622328221797943,1.646401047706604
33,2.7899776697158813,1.226059913635254,1.5639177560806274
34,2.722730278968811,1.5013442039489746,1.2213860750198364
35,2.844258666038513,1.468658447265625,1.3756002187728882
36,2.804395318031311,1.1043044328689575,1.7000908851623535
37,2.5069136023521423,1.0502644181251526,1.4566491842269897
38,2.6579388976097107,1.4729570746421814,1.1849818229675293
39,2.7286303639411926,1.3444339632987976,1.384196400642395
40,2.6687546968460083,1.3881078958511353,1.280646800994873
41,2.8057894110679626,1.5327410101890564,1.2730484008789062
42,2.768357515335083,1.515144944190979,1.253212571144104
43,2.6952854990959167,1.2822325825691223,1.4130529165267944
44,2.769762635231018,1.6458948850631714,1.1238677501678467
45,2.7276440858840942,1.369083046913147,1.3585610389709473
46,2.8722331523895264,1.201331377029419,1.6709017753601074
47,2.8299617767333984,1.6159063577651978,1.2140554189682007
48,2.776147782802582,1.5066784024238586,1.2694693803787231
49,2.7566542625427246,1.4099042415618896,1.346750020980835
50,2.7282721996307373,1.533711552619934,1.1945606470108032
51,2.777487576007843,1.2065640091896057,1.5709235668182373
52,2.773005783557892,1.6085169911384583,1.1644887924194336
53,2.8219509422779083,1.2735290825366974,1.548421859741211
54,2.9169597029685974,1.5420123934745789,1.3749473094940186
55,2.8710551857948303,1.3463754057884216,1.5246797800064087
56,2.875557243824005,1.5115237832069397,1.3640334606170654
57,2.617444694042206,1.1463060975074768,1.471138596534729
58,2.72427836060524,1.1100330650806427,1.6142452955245972
59,2.687995284795761,1.0930789411067963,1.5949163436889648
60,2.8338016867637634,1.4594903588294983,1.3743113279342651
61,2.7630077600479126,1.461762547492981,1.3012452125549316
62,2.6993122696876526,1.313102900981903,1.3862093687057495
63,2.837016463279724,1.2465053796768188,1.5905110836029053
64,2.899655044078827,1.3114693760871887,1.5881856679916382
65,2.9521158933639526,2.0006707310676575,0.9514451622962952
66,2.924283742904663,1.4930919408798218,1.4311918020248413
67,2.9666919708251953,1.3150163888931274,1.6516755819320679
68,2.6324564814567566,1.2562578320503235,1.376198649406433
69,2.586279273033142,1.3144992589950562,1.271780014038086
70,2.74687123298645,1.3737965822219849,1.3730746507644653
71,2.709837555885315,1.3903924226760864,1.3194451332092285
72,2.8752371072769165,1.4423391819000244,1.432897925376892
73,2.8568279147148132,1.234342634677887,1.6224852800369263
74,2.700156569480896,1.409216046333313,1.290940523147583
75,2.77240252494812,1.480725884437561,1.291676640510559
76,2.699074387550354,1.1636669635772705,1.5354074239730835
77,2.647590219974518,1.3598249554634094,1.2877652645111084
78,2.7640198469161987,1.115305781364441,1.6487140655517578
79,2.7515092492103577,1.3682257533073425,1.3832834959030151
80,2.738389015197754,1.6492937803268433,1.0890952348709106
81,2.888240158557892,1.2484062314033508,1.639833927154541
82,2.784127712249756,1.2947317361831665,1.4893959760665894
83,3.013877809047699,1.2935830950737,1.720294713973999
84,2.7695817351341248,1.425430715084076,1.3441510200500488
85,2.6637757420539856,1.5409528613090515,1.122822880744934
86,2.8059841990470886,1.1621913313865662,1.6437928676605225
87,2.8602658212184906,1.1011392772197723,1.7591265439987183
88,2.8189423084259033,1.4941431283950806,1.3247991800308228
89,2.700966238975525,1.4603899717330933,1.2405762672424316
90,2.581347107887268,1.1853342056274414,1.3960129022598267
91,2.823018252849579,1.428778350353241,1.394239902496338
92,2.96794593334198,1.3833101987838745,1.5846357345581055
93,2.856309711933136,1.700180470943451,1.156129240989685
94,2.9813458919525146,1.622435450553894,1.3589104413986206
95,2.623028814792633,1.0862522721290588,1.5367765426635742
96,2.892754912376404,1.3095815181732178,1.583173394203186
97,2.8086505234241486,1.1150873005390167,1.6935632228851318
98,2.742229402065277,1.6194292902946472,1.1228001117706299
99,2.674469530582428,1.2760271430015564,1.3984423875808716
100,2.8134512901306152,1.766502857208252,1.0469484329223633
101,3.084743320941925,1.555793821811676,1.528949499130249
102,2.7890928983688354,1.5008838176727295,1.288209080696106
103,3.0383049845695496,1.5819799304008484,1.4563250541687012
104,2.694986402988434,1.2674582600593567,1.4275281429290771
105,2.8382342159748077,1.2377044260501862,1.6005297899246216
106,2.631247043609619,1.2387133836746216,1.3925336599349976
107,2.6296210885047913,1.398327648639679,1.2312934398651123
108,2.8108922839164734,1.4437307715415955,1.367161512374878
109,2.693564683198929,0.9798291027545929,1.713735580444336
110,2.724906802177429,1.1558552980422974,1.5690515041351318
111,2.768512725830078,1.4232301712036133,1.3452825546264648
112,2.8196603655815125,1.301096260547638,1.5185641050338745
113,2.8785858750343323,1.3569301962852478,1.5216556787490845
114,2.8150887489318848,1.3784751892089844,1.4366135597229004
115,3.1293646693229675,1.1524484753608704,1.9769161939620972
116,2.6880659461021423,1.3600847125053406,1.3279812335968018
117,2.8730862140655518,1.3619184494018555,1.5111677646636963
118,2.82568222284317,1.475093424320221,1.3505887985229492
119,2.910220146179199,1.317234754562378,1.5929853916168213
120,2.818632960319519,1.21836256980896,1.600270390510559
121,2.76512748003006,1.4441396594047546,1.3209878206253052
122,2.7147963643074036,1.2758989930152893,1.4388973712921143
123,2.579504579305649,1.3670967519283295,1.2124078273773193
124,2.7446689009666443,1.30014306306839,1.4445258378982544
125,2.835584819316864,1.2685306668281555,1.5670541524887085
126,2.7936473190784454,1.1507906019687653,1.6428567171096802
127,2.921749472618103,0.9447393417358398,1.9770101308822632
128,2.799776315689087,1.3400282859802246,1.4597480297088623
129,2.7094998359680176,1.1148160696029663,1.5946837663650513
130,2.8935365080833435,1.5187795758247375,1.374756932258606
131,2.8912476897239685,1.3478618264198303,1.5433858633041382
132,2.731343388557434,1.492706298828125,1.238637089729309
133,2.621024340391159,1.1940486133098602,1.4269757270812988
134,2.6535399556159973,1.2327993512153625,1.4207406044006348
135,2.836721897125244,1.2786881923675537,1.5580337047576904
136,2.839951753616333,1.2625833749771118,1.5773683786392212
137,2.669202148914337,1.3471760153770447,1.3220261335372925
138,2.7419232726097107,1.3832622170448303,1.3586610555648804
139,3.2455042600631714,1.7036820650100708,1.5418221950531006
140,2.85262930393219,1.5993388891220093,1.2532904148101807
141,2.6569830179214478,0.9893804788589478,1.6676025390625
142,3.0119614005088806,1.1900095343589783,1.8219518661499023
143,2.784395933151245,1.1945836544036865,1.5898122787475586
144,2.8735665380954742,1.0095020830631256,1.8640644550323486
145,2.7979333996772766,1.346096932888031,1.4518364667892456
146,2.8772831559181213,1.2597894072532654,1.617493748664856
147,2.7384151220321655,1.2993758916854858,1.4390392303466797
