epoch,total_loss,discriminator_loss,generator_loss
1,11.738805532455444,7.283101201057434,4.45570433139801
2,11.452757775783539,7.092729985713959,4.36002779006958
3,11.31194919347763,6.945562481880188,4.366386711597443
4,11.303966879844666,6.945016622543335,4.358950257301331
5,11.356725096702576,7.105162739753723,4.2515623569488525
6,11.415870666503906,6.957403719425201,4.458466947078705
7,11.352415442466736,6.65191513299942,4.700500309467316
8,11.240389704704285,6.461042404174805,4.77934730052948
9,11.187630832195282,6.360575437545776,4.827055394649506
10,11.223927080631256,6.43679803609848,4.787129044532776
11,11.37245786190033,6.533097684383392,4.839360177516937
12,11.39894300699234,6.294887363910675,5.104055643081665
13,11.367022097110748,6.006154716014862,5.360867381095886
14,11.326150476932526,6.094825923442841,5.231324553489685
15,11.66361129283905,6.712675988674164,4.9509353041648865
16,11.917297780513763,6.433254182338715,5.484043598175049
17,11.759805858135223,5.858826696872711,5.900979161262512
18,11.515675723552704,5.905007779598236,5.610667943954468
19,11.741370618343353,6.430306971073151,5.311063647270203
20,12.128295421600342,6.542097091674805,5.586198329925537
21,12.175345420837402,6.2094831466674805,5.965862274169922
22,12.093960523605347,5.950655102729797,6.143305420875549
23,12.240478932857513,5.820420801639557,6.4200581312179565
24,12.190194368362427,5.786598324775696,6.403596043586731
25,12.12614494562149,6.27729457616806,5.84885036945343
26,12.240961968898773,6.174822986125946,6.066138982772827
27,12.273634314537048,5.568195939064026,6.7054383754730225
28,12.061306208372116,5.2833846509456635,6.777921557426453
29,12.11179381608963,5.494833528995514,6.616960287094116
30,12.921077847480774,5.987208008766174,6.9338698387146
31,13.040328472852707,5.1709252297878265,7.86940324306488
32,12.54119923710823,5.267237573862076,7.273961663246155
33,12.860446631908417,6.029810726642609,6.830635905265808
34,12.87213996052742,5.1214249432086945,7.750715017318726
35,12.436581313610077,4.674180805683136,7.762400507926941
36,12.243077576160431,4.6926074624061584,7.5504701137542725
37,12.686350971460342,5.207869678735733,7.478481292724609
38,13.233084321022034,4.910478472709656,8.322605848312378
39,12.958583980798721,4.497625380754471,8.46095860004425
40,12.877854734659195,4.572310596704483,8.305544137954712
41,13.206699579954147,4.2881021201610565,8.91859745979309
42,13.083640962839127,3.4563194811344147,9.627321481704712
43,12.910994738340378,3.140921801328659,9.770072937011719
44,12.629404872655869,3.1071179807186127,9.522286891937256
45,12.94076070189476,3.707254260778427,9.233506441116333
46,14.181519478559494,3.925249308347702,10.256270170211792
47,14.120612815022469,3.1331204921007156,10.987492322921753
48,13.844060271978378,2.7870958745479584,11.05696439743042
49,13.75136199593544,3.0060950815677643,10.745266914367676
50,14.09913820028305,3.263734519481659,10.835403680801392
51,14.173015534877777,2.76908940076828,11.403926134109497
52,13.560344815254211,2.7701438665390015,10.79020094871521
53,13.472814410924911,3.1068480908870697,10.365966320037842
54,14.118701487779617,3.4527054131031036,10.665996074676514
55,14.113277211785316,3.140396609902382,10.972880601882935
56,13.971055150032043,2.6121071577072144,11.358947992324829
57,13.919645071029663,2.236074209213257,11.683570861816406
58,14.10527141392231,2.0128346234560013,12.092436790466309
59,14.3524030148983,1.7177699506282806,12.63463306427002
60,14.376576036214828,1.7993710935115814,12.577204942703247
61,14.755310729146004,1.987667754292488,12.767642974853516
62,15.243085518479347,1.9807027727365494,13.262382745742798
63,15.555503241717815,1.5448900386691093,14.010613203048706
64,16.154998317360878,1.4172604233026505,14.737737894058228
65,15.96014017611742,1.6960796788334846,14.264060497283936
66,15.572217583656311,2.3314751386642456,13.240742444992065
67,15.566061034798622,2.160582795739174,13.405478239059448
68,15.125177636742592,1.8058037906885147,13.319373846054077
69,15.013583183288574,1.7004270553588867,13.313156127929688
70,15.334357544779778,1.6942275017499924,13.640130043029785
71,15.516936421394348,1.5898526906967163,13.927083730697632
72,15.211247362196445,1.5425752773880959,13.66867208480835
73,15.264212682843208,1.6333912163972855,13.630821466445923
74,16.01497530937195,1.7879841327667236,14.226991176605225
75,16.705205589532852,1.6434647142887115,15.06174087524414
76,16.92371515929699,1.265884205698967,15.657830953598022
77,16.74080976098776,1.2054940089583397,15.535315752029419
78,16.416332595050335,1.2141879722476006,15.202144622802734
79,16.42547670006752,1.238767296075821,15.1867094039917
80,17.19437723606825,1.209918551146984,15.984458684921265
81,17.752753421664238,1.0005673617124557,16.752186059951782
82,17.86992733180523,0.9774266928434372,16.892500638961792
83,17.61707378178835,1.110669620335102,16.506404161453247
84,17.72643669694662,1.1586814746260643,16.567755222320557
85,17.80028296262026,1.1301195695996284,16.67016339302063
86,18.08111946284771,1.1398076266050339,16.941311836242676
87,18.38882478326559,1.0030945166945457,17.385730266571045
88,18.306276734918356,0.9872941337525845,17.31898260116577
89,18.182897590100765,0.9325845465064049,17.25031304359436
90,18.42708220332861,0.9299947246909142,17.497087478637695
91,19.205327659845352,1.0038496553897858,18.201478004455566
92,19.25643400847912,0.9860809296369553,18.270353078842163
93,19.572516418993473,1.0523786321282387,18.520137786865234
94,19.513741225004196,1.063214272260666,18.45052695274353
95,19.46906814724207,1.031649686396122,18.437418460845947
96,19.029954362660646,0.8910309560596943,18.138923406600952
97,19.373603373765945,0.9701977074146271,18.40340566635132
98,19.463352266699076,0.8952139057219028,18.568138360977173
99,19.5162855386734,0.8639861345291138,18.652299404144287
100,20.270153485238552,1.0393855199217796,19.230767965316772
101,21.163906060159206,1.0634760484099388,20.100430011749268
102,21.00992952287197,0.8371323198080063,20.172797203063965
103,21.070661310106516,0.7827873267233372,20.28787398338318
104,21.3786055482924,0.7161166109144688,20.66248893737793
105,21.01053100824356,0.7780795693397522,20.23245143890381
106,20.784850504249334,0.7949461005628109,19.989904403686523
107,21.04806711524725,0.7497482523322105,20.29831886291504
108,20.994132608175278,0.7601977288722992,20.23393487930298
109,20.987700670957565,0.7813942134380341,20.20630645751953
110,21.11923762410879,0.7896220311522484,20.329615592956543
